chrom	pos	depth
chrX	47058285	21
chrX	47058286	23
chrX	47058287	24
chrX	47058288	24
chrX	47058289	22
chrX	47058290	20
chrX	47058291	25
chrX	47058292	25
chrX	47058293	24
chrX	47058294	22
chrX	47058295	25
chrX	47058296	23
chrX	47058297	20
chrX	47058298	26
chrX	47058299	26
chrX	47058300	25
chrX	47058301	18
chrX	47058302	24
chrX	47058303	15
chrX	47058304	23
chrX	47058305	24
chrX	47058306	19
chrX	47058307	19
chrX	47058308	25
chrX	47058309	25
chrX	47058310	25
chrX	47058311	19
chrX	47058312	18
chrX	47058313	15
chrX	47058314	14
chrX	47058315	16
chrX	47058316	17
chrX	47058317	17
chrX	47058318	25
chrX	47058319	23
chrX	47058320	25
chrX	47058321	25
chrX	47058322	28
chrX	47058323	25
chrX	47058324	23
chrX	47058325	25
chrX	47058326	22
chrX	47058327	22
chrX	47058328	18
chrX	47058329	22
chrX	47058330	22
chrX	47058331	24
chrX	47058332	21
chrX	47058333	19
chrX	47058334	21
chrX	47058335	21
chrX	47058336	18
chrX	47058337	23
chrX	47058338	26
chrX	47058339	23
chrX	47058340	23
chrX	47058341	23
chrX	47058342	26
chrX	47058343	21
chrX	47058344	22
chrX	47058345	23
chrX	47058346	23
chrX	47058347	21
chrX	47058348	21
chrX	47058349	20
chrX	47058350	21
chrX	47058351	19
chrX	47058352	18
chrX	47058353	16
chrX	47058354	18
chrX	47058355	17
chrX	47058356	19
chrX	47058357	19
chrX	47058358	14
chrX	47058359	23
chrX	47058360	21
chrX	47058361	23
chrX	47058362	17
chrX	47058363	21
chrX	47058364	15
chrX	47058365	15
chrX	47058366	22
chrX	47058367	16
chrX	47058368	19
chrX	47058369	20
chrX	47058370	20
chrX	47058371	12
chrX	47058372	19
chrX	47058373	19
chrX	47058374	14
chrX	47058375	17
chrX	47058376	17
chrX	47058377	16
chrX	47058378	16
chrX	47058379	16
chrX	47058380	18
chrX	47058381	18
chrX	47058382	18
chrX	47058383	17
chrX	47058384	18
chrX	47058385	18
chrX	47058386	19
chrX	47058387	19
chrX	47058388	19
chrX	47058389	19
chrX	47058390	18
chrX	47058391	20
chrX	47058392	19
chrX	47058393	16
chrX	47058394	17
chrX	47058395	19
chrX	47058396	22
chrX	47058397	20
chrX	47058398	19
chrX	47058399	17
chrX	47058400	15
chrX	47058401	15
chrX	47058402	16
chrX	47058403	20
chrX	47058404	18
chrX	47058405	17
chrX	47058406	17
chrX	47058407	20
chrX	47058408	22
chrX	47058409	18
chrX	47058410	18
chrX	47058411	17
chrX	47058412	19
chrX	47058413	19
chrX	47058414	18
chrX	47058415	19
chrX	47058416	13
chrX	47058417	20
chrX	47058418	20
chrX	47058419	19
chrX	47058420	13
chrX	47058421	21
chrX	47058422	18
chrX	47058423	20
chrX	47058424	16
chrX	47058425	18
chrX	47058426	19
chrX	47058427	10
chrX	47058428	18
chrX	47058429	16
chrX	47058430	6
chrX	47058431	18
chrX	47058432	20
chrX	47058433	15
chrX	47058434	12
chrX	47058435	18
chrX	47058436	21
chrX	47058437	21
chrX	47058438	22
chrX	47058439	22
chrX	47058440	20
chrX	47058441	21
chrX	47058442	17
chrX	47058443	24
chrX	47058444	23
chrX	47058445	23
chrX	47058446	14
chrX	47058447	26
chrX	47058448	23
chrX	47058449	19
chrX	47058450	25
chrX	47058451	21
chrX	47058452	17
chrX	47058453	25
chrX	47058454	16
chrX	47058455	28
chrX	47058456	20
chrX	47058457	27
chrX	47058458	26
chrX	47058459	21
chrX	47058460	25
chrX	47058461	30
chrX	47058462	24
chrX	47058463	28
chrX	47058464	30
chrX	47058465	29
chrX	47058466	30
chrX	47058467	31
chrX	47058468	31
chrX	47058469	31
chrX	47058470	26
chrX	47058471	27
chrX	47058472	27
chrX	47058473	31
chrX	47058474	31
chrX	47058475	33
chrX	47058476	33
chrX	47058477	29
chrX	47058478	28
chrX	47058479	29
chrX	47058480	30
chrX	47058481	28
chrX	47058482	27
chrX	47058483	26
chrX	47058484	27
chrX	47058485	15
chrX	47058486	31
chrX	47058487	28
chrX	47058488	20
chrX	47058489	29
chrX	47058490	19
chrX	47058491	31
chrX	47058492	26
chrX	47058493	30
chrX	47058494	33
chrX	47058495	31
chrX	47058496	19
chrX	47058497	32
chrX	47058498	29
chrX	47058499	26
chrX	47058500	28
chrX	47058501	28
chrX	47058502	31
chrX	47058503	32
chrX	47058504	30
chrX	47058505	30
chrX	47058506	31
chrX	47058507	33
chrX	47058508	27
chrX	47058509	33
chrX	47058510	32
chrX	47058511	30
chrX	47058512	17
chrX	47058513	32
chrX	47058514	32
chrX	47058515	21
chrX	47058516	18
chrX	47058517	27
chrX	47058518	26
chrX	47058519	29
chrX	47058520	22
chrX	47058521	29
chrX	47058522	22
chrX	47058523	29
chrX	47058524	22
chrX	47058525	30
chrX	47058526	28
chrX	47058527	31
chrX	47058528	30
chrX	47058529	29
chrX	47058530	29
chrX	47058531	17
chrX	47058532	32
chrX	47058533	32
chrX	47058534	24
chrX	47058535	31
chrX	47058536	31
chrX	47058537	30
chrX	47058538	26
chrX	47058539	25
chrX	47058540	25
chrX	47058541	28
chrX	47058542	28
chrX	47058543	24
chrX	47058544	31
chrX	47058545	25
chrX	47058546	29
chrX	47058547	29
chrX	47058548	29
chrX	47058549	27
chrX	47058550	30
chrX	47058551	31
chrX	47058552	27
chrX	47058553	28
chrX	47058554	28
chrX	47058555	27
chrX	47058556	31
chrX	47058557	28
chrX	47058558	29
chrX	47058559	26
chrX	47058560	27
chrX	47058561	27
chrX	47058562	29
chrX	47058563	27
chrX	47058564	28
chrX	47058565	23
chrX	47058566	34
chrX	47058567	25
chrX	47058568	28
chrX	47058569	17
chrX	47058570	35
chrX	47058571	35
chrX	47058572	25
chrX	47058573	33
chrX	47058574	32
chrX	47058575	28
chrX	47058576	28
chrX	47058577	24
chrX	47058578	29
chrX	47058579	26
chrX	47058580	30
chrX	47058581	31
chrX	47058582	30
chrX	47058583	29
chrX	47058584	25
chrX	47058585	23
chrX	47058586	24
chrX	47058587	24
chrX	47058588	22
chrX	47058589	22
chrX	47058590	19
chrX	47058591	18
chrX	47058592	9
chrX	47058593	19
chrX	47058594	20
chrX	47058595	20
chrX	47058596	8
chrX	47058597	19
chrX	47058598	16
chrX	47058599	13
chrX	47058600	17
chrX	47058601	13
chrX	47058602	17
chrX	47058603	16
chrX	47058604	15
chrX	47058605	18
chrX	47058606	16
chrX	47058607	16
chrX	47058608	17
chrX	47058609	17
chrX	47058610	18
chrX	47058611	17
chrX	47058612	17
chrX	47058613	17
chrX	47058614	16
chrX	47058615	14
chrX	47058616	12
chrX	47058617	13
chrX	47058618	17
chrX	47058619	10
chrX	47058620	15
chrX	47058621	12
chrX	47058622	17
chrX	47058623	19
chrX	47058624	19
chrX	47058625	23
chrX	47058626	23
chrX	47058627	21
chrX	47058628	23
chrX	47058629	21
chrX	47058630	17
chrX	47058631	23
chrX	47058632	25
chrX	47058633	23
chrX	47058634	20
chrX	47058635	24
chrX	47058636	23
chrX	47058637	21
chrX	47058638	19
chrX	47058639	20
chrX	47058640	21
chrX	47058641	20
chrX	47058642	15
chrX	47058643	22
chrX	47058644	26
chrX	47058645	26
chrX	47058646	26
chrX	47058647	27
chrX	47058648	24
chrX	47058649	22
chrX	47058650	19
chrX	47058651	21
chrX	47058652	23
chrX	47058653	24
chrX	47058654	24
chrX	47058655	24
chrX	47058656	24
chrX	47058657	19
chrX	47058658	28
chrX	47058659	24
chrX	47058660	19
chrX	47058661	27
chrX	47058662	26
chrX	47058663	26
chrX	47058664	25
chrX	47058665	28
chrX	47058666	26
chrX	47058667	23
chrX	47058668	23
chrX	47058669	24
chrX	47058670	27
chrX	47058671	28
chrX	47058672	27
chrX	47058673	23
chrX	47058674	28
chrX	47058675	28
chrX	47058676	12
chrX	47058677	23
chrX	47058678	25
chrX	47058679	24
chrX	47058680	21
chrX	47058681	25
chrX	47058682	19
chrX	47058683	19
chrX	47058684	18
chrX	47058685	18
chrX	47058686	21
chrX	47058687	15
chrX	47058688	21
chrX	47058689	26
chrX	47058690	23
chrX	47058691	24
chrX	47058692	23
chrX	47058693	24
chrX	47058694	22
chrX	47058695	24
chrX	47058696	24
chrX	47058697	22
chrX	47058698	25
chrX	47058699	24
chrX	47058700	20
chrX	47058701	23
chrX	47058702	22
chrX	47058703	22
chrX	47058704	23
chrX	47058705	23
chrX	47058706	23
chrX	47058707	21
chrX	47058708	15
chrX	47058709	18
chrX	47058710	14
chrX	47058711	19
chrX	47058712	15
chrX	47058713	15
chrX	47058714	9
chrX	47058715	20
chrX	47058716	20
chrX	47058717	10
chrX	47058718	18
chrX	47058719	20
chrX	47058720	19
chrX	47058721	14
chrX	47058722	18
chrX	47058723	13
chrX	47058724	20
chrX	47058725	22
chrX	47058726	24
chrX	47058727	24
chrX	47058728	15
chrX	47058729	19
chrX	47058730	19
chrX	47058731	22
chrX	47058732	13
chrX	47058733	19
chrX	47058734	21
chrX	47058735	21
chrX	47058736	22
chrX	47058737	22
chrX	47058738	18
chrX	47058739	19
chrX	47058740	17
chrX	47058741	15
chrX	47058742	19
chrX	47058743	17
chrX	47058744	19
chrX	47058745	9
chrX	47058746	15
chrX	47058747	17
chrX	47058748	17
chrX	47058749	21
chrX	47058750	21
chrX	47058751	19
